TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
redis.clients.jedis.commands.jedis.BitCommandsTest.testBinaryBitfield,1,76,18,3,1,0.07,15,465,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.testBinaryBitfieldReadonly,1,79,18,3,1,0.07,15,469,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.testBitfield,1,75,18,3,1,0.06,12,464,0,0,0,0,0,0,0
redis.clients.jedis.commands.jedis.BitCommandsTest.testBitfieldReadonly,1,79,18,3,1,0.06,18,504,0,99,115,2,0,0.46,1
redis.clients.jedis.commands.jedis.ClientCommandsTest.clientId,2,76,16,3,1,0.09,28,472,0,121,82,4,0,0.6,1
redis.clients.jedis.commands.jedis.ClientCommandsTest.clientIdmultipleConnection,2,70,16,3,1,0.09,23,443,0,86,97,0,3,0.47,0
redis.clients.jedis.commands.jedis.ClientCommandsTest.clientIdReconnect,2,72,16,3,1,0.1,25,447,0,88,97,1,4,0.48,0.2
redis.clients.jedis.commands.jedis.ClientCommandsTest.clientInfo,2,73,16,3,1,0.08,23,466,0,96,100,2,2,0.49,0.5
redis.clients.jedis.commands.jedis.ClientCommandsTest.clientListWithClientId,2,80,16,3,1,0.09,23,483,0,109,102,5,3,0.52,0.62
redis.clients.jedis.commands.jedis.ClientCommandsTest.clientUnblock,2,91,19,3,1,0.08,28,545,0,137,92,3,3,0.6,0.5
redis.clients.jedis.commands.jedis.ClientCommandsTest.killAddrBinary,3,83,18,4,1,0.09,34,512,0,114,108,2,5,0.51,0.29
redis.clients.jedis.commands.jedis.ClientCommandsTest.killAddrIpPort,3,83,18,4,1,0.09,36,512,0,115,106,0,5,0.52,0
redis.clients.jedis.commands.jedis.ClientCommandsTest.killAddrString,3,83,18,4,1,0.09,34,512,0,114,108,2,5,0.51,0.29
