TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.inject.spi.ProviderMethodsTest.testOverrideProviderMethod_increasedVisibility,1,301,89,7,1,0.00,6,2068,1,0.00,0.00
com.google.inject.spi.ElementsTest.testBindConstantTypes,2,106,30,6,1,0.02,106,554,1,0.00,0.00
com.google.inject.BindingTest.testToConstructorBindingsOnParameterizedTypes,3,321,98,8,1,0.00,27,2141,0,0.00,0.00
com.google.inject.spi.ElementApplyToTest.testBindWithMultipleScopesAddsError,2,102,31,5,1,0.02,48,592,0,0.00,0.00
com.google.inject.internal.PackageNameCompressorTest.testWrappedErrorMessageRemovesEmbeddedLegend,0,9,4,1,1,0.16,8,97,1,0.00,0.00
com.google.inject.internal.MapBinderTest.testMapBinderAggregationForAnnotationType,2,470,114,8,1,0.03,405,2616,1,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testMultipleNullValueErrorsAreAggregated,0,15,2,1,1,0.01,9,128,1,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testBindingToInterfaceWithBoundValueType_Provides,0,37,11,1,1,0.05,49,304,0,0.00,0.00
com.google.inject.servlet.ServletUtilsTest.testGetContextRelativePath,0,7,2,1,1,0.11,18,84,1,0.00,0.00
com.googlecode.guice.Jsr330Test.testSingleton,1,338,107,7,1,0.00,18,2365,0,0.00,0.00
com.google.inject.util.OverrideModuleTest.testOverrideConstant,1,273,91,7,1,0.00,11,1778,0,0.00,0.00
com.google.inject.util.OverrideModuleTest.testOverrideWhatGetProviderProvided,1,297,96,7,1,0.00,17,1844,0,0.00,0.00
com.google.inject.ProvisionListenerTest.testNotifiedKeysOfAllBindTypes,1,474,136,8,1,0.00,63,3210,0,0.00,0.00
com.google.inject.assistedinject.FactoryProvider2Test.testTypeTokenInjection,0,22,5,1,1,0.00,24,356,1,0.00,0.00
com.google.inject.internal.WeakKeySetTest.testEviction_keyAndSourceOverlap_nonNull,2,26,9,2,1,0.12,70,193,1,0.00,0.00
com.google.inject.spi.ElementsTest.testBindKeysWithAnnotationInstance,3,112,31,6,1,0.01,43,695,1,0.00,0.00
com.google.inject.grapher.ShortNameFactoryTest.testGetClassName_key,1,2,1,1,1,0.00,7,4,1,0.00,0.00
com.google.inject.InjectorTest.testSubtypeNotProvided,0,349,105,7,1,0.00,23,2486,0,0.00,0.00
com.google.inject.assistedinject.FactoryModuleBuilderTest.testParentBoundReturnValue,1,27,6,1,1,0.01,17,314,1,0.00,0.00
com.google.inject.name.NamesTest.testNamedIsSerializable,0,4,2,1,1,0.14,16,10,1,0.00,0.00
com.google.inject.KeyTest.testCannotCreateKeySubclassesWithUnspecifiedTypeVariables,0,41,14,3,1,0.00,20,266,0,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.scannerWithPermitCanCreateRestrictedBinding,1,307,86,7,1,0.00,13,2030,0,0.00,0.00
com.google.inject.JitBindingsTest.testLinkedToScoped,1,364,114,7,1,0.00,63,2530,0,0.00,0.00
com.google.inject.assistedinject.FactoryProvider2Test.testFactoryUseBeforeInitialization,0,18,4,1,1,0.01,10,321,1,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testExceptionsThrown_Provides,0,37,11,1,1,0.05,68,304,0,0.00,0.00
com.google.inject.servlet.FilterPipelineTest.testDispatchThruGuiceFilter,2,45,15,1,1,0.11,37,347,0,0.00,0.00
com.google.inject.ImplicitBindingTest.testImplicitJdkBindings,0,292,89,7,1,0.00,5,2185,0,0.00,0.00
com.google.inject.internal.MoreTypesTest.testParameterizedType_lessArgs,0,2,2,1,1,0.00,19,43,1,0.00,0.00
com.google.inject.TypeLiteralTypeResolutionTest.testWildcards,1,28,5,3,1,0.02,29,218,1,0.00,0.00
com.google.inject.spi.ModuleAnnotatedMethodScannerTest.childInjectorInheritsScanner,1,351,100,8,1,0.00,18,2207,0,0.00,0.00
com.google.inject.internal.MapBinderTest.testExhaustiveDuplicateErrorMessage,1,461,114,9,1,0.00,44,2779,1,0.00,0.00
com.google.inject.ScopesTest.testSiblingInjectorGettingCircularSingletonsOneCircularProxy,1,368,113,7,1,0.00,50,2544,1,0.00,0.00
com.google.inject.assistedinject.FactoryModuleBuilderTest.testSingletonScopeOnAssistedClassIsIgnored,1,14,4,1,1,0.01,14,228,1,0.00,0.00
com.google.inject.util.OverrideModuleTest.testOverrideUntargettedBinding,1,250,86,6,1,0.00,11,1703,0,0.00,0.00
com.google.inject.ImplicitBindingTest.testProvidedByNonEmptyEnum,0,298,92,7,1,0.00,10,2176,0,0.00,0.00
com.google.inject.MembersInjectorTest.testCannotBindMembersInjector,2,237,76,6,1,0.00,35,1659,0,0.00,0.00
com.google.inject.internal.OptionalBinderTest.testLinkedToNullProvidersMakeAbsentValuesAndPresentProviders_actual,1,357,96,7,1,0.03,321,1980,1,0.00,0.00
com.google.inject.throwingproviders.CheckedProviderTest.testEarlyBindingError,0,32,7,1,1,0.07,53,260,0,0.00,0.00
com.google.inject.GenericInjectionTest.testBindingSubtype,2,375,114,7,1,0.00,27,2587,0,0.00,0.00
com.google.inject.spi.ElementApplyToTest.testGetProvider,2,87,25,5,1,0.02,61,527,0,0.00,0.00
com.google.inject.NullableInjectionPointTest.testInjectNullIntoTypeUseNullableConstructor,1,334,103,7,1,0.00,11,2287,1,0.00,0.00
com.google.inject.name.NamedEquivalanceTest.testMissingBindingForGuiceNamedUsesSameTypeInErrorMessage,0,327,85,6,1,0.01,24,2220,0,0.00,0.00
com.google.inject.JitBindingsTest.testLinkedEagerSingleton,1,364,113,7,1,0.00,63,2531,0,0.00,0.00
com.google.inject.ParentInjectorTest.testChildBindingsNotVisibleToParent,1,308,98,7,1,0.00,24,2105,0,0.00,0.00
com.google.inject.RestrictedBindingSourceTest.childInjectorCanBindRestrictedBindingWithPermit,0,339,101,7,1,0.00,6,2180,0,0.00,0.00
com.google.inject.internal.MapBinderTest.testAllBindings,1,392,107,8,1,0.01,48,2373,1,0.00,0.00
com.google.inject.servlet.ServletTest.testNewSessionObject,2,29,12,1,1,0.13,49,190,0,0.00,0.00
com.google.inject.servlet.ServletTest.testGuiceFilterConstructors,2,48,17,1,1,0.07,62,360,0,0.00,0.00
com.google.inject.spring.SpringIntegrationTest.testBindFromSpring,0,5,3,1,1,0.08,20,19,1,0.00,0.00
com.google.inject.assistedinject.FactoryProvider2Test.testMethodInterceptorsOnAssistedTypes,0,22,5,1,1,0.00,26,356,1,0.00,0.00
com.google.inject.multibindings.ProvidesIntoTest.testArrayKeys_unwrapValuesTrue,1,333,99,8,1,0.00,24,2309,0,0.00,0.00
com.google.inject.daggeradapter.ModuleIncludesTest.testIncludedModules,0,28,6,1,1,0.01,5,134,0,0.00,0.00
com.google.inject.BinderTest.testCannotBindToGuiceTypes,2,263,81,7,1,0.01,47,1720,0,0.00,0.00
com.google.inject.assistedinject.FactoryProvider2Test.testInjectingNullParameter,0,22,5,1,1,0.00,13,356,1,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testFieldBoundAsNonTransparentProvider_lazy,0,16,3,1,1,0.01,17,127,1,0.00,0.00
com.google.inject.internal.PackageNameCompressorTest.testSingleLetterClassName,0,9,4,1,1,0.16,5,97,1,0.00,0.00
com.google.inject.ScopesTest.testForInstanceOfNoScopingReturnsUnscoped,2,264,87,7,1,0.00,21,1840,0,0.00,0.00
com.google.inject.throwingproviders.ThrowingProviderTest.testValuesScoped_Provides,0,33,10,1,1,0.06,60,268,0,0.00,0.00
