TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.eclipse.californium.oscore.OSCoreTest.testEncryptedNoOptionsNoPayload,2,63,15,2,2,0.00,21,622,0,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorAdvancedTest.testServerPskDoubleResponse[cid = null],7,628,115,8,1,0.05,372,4901,1,0.00,0.00
org.eclipse.californium.elements.util.LeastRecentlyUsedCacheTest.testFindUniqueSucceedsEvenExpired,1,15,3,1,1,0.38,37,92,1,0.00,0.00
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest.testEqualsFails,2,3,2,1,1,0.90,7,46,1,0.00,0.00
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest.testGetCertificateChainReturnsNullForRpkOnlyConfiguration,1,74,21,5,3,0.03,15,651,1,0.00,0.00
org.eclipse.californium.core.test.lockstep.BlockwiseClientSideTest.testGETCallsOnErrorAfterLostACK,10,398,76,8,1,0.09,436,2856,0,0.00,0.00
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationTransientTime,1,41,10,3,1,0.19,51,374,1,0.00,0.00
org.eclipse.californium.core.network.serialization.DataParserTest.testUTF8Encoding[0],1,89,15,3,2,0.13,48,570,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testDifferentNonce[1],0,11,6,2,1,0.04,29,129,1,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilConfigurationTest.testConfigureInputStreamFactoryWithInvalidScheme,0,2,1,1,1,0.61,14,33,1,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorTest.testRetransmissionEcc,5,479,84,6,1,0.11,232,3996,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testPaddingCheck[6],0,3,2,2,1,1.00,40,13,1,0.00,0.00
org.eclipse.californium.core.test.ClientAsynchronousTest.testAsyncGetTriggersOnLoad,1,337,63,9,1,0.02,63,2423,0,0.00,0.00
org.eclipse.californium.core.coap.UriQueryParameterTest.testGetArgumentAsIntegerWithMinimumFailsDefault,1,2,1,1,1,0.50,10,29,1,0.00,0.00
org.eclipse.californium.scandium.dtls.DTLSContextTest.testRecordFromFutureEpochIsDiscarded,4,57,12,3,2,0.55,47,263,1,0.00,0.00
org.eclipse.californium.scandium.dtls.EcdhPskClientKeyExchangeTest.testDeserializedMsg,4,38,12,2,1,0.35,19,247,1,0.00,0.00
org.eclipse.californium.core.test.OptionTest.testSetLongValue,1,5,2,1,1,0.27,34,59,1,0.00,0.00
org.eclipse.californium.oscore.OSCoreAlgorithmsTest.testNotSupported,1,2,2,2,2,0.00,29,108,0,0.00,0.00
org.eclipse.californium.elements.util.SslContextUtilTrustTest.testLoadP12TrustManagerWithAlias,0,10,3,1,1,0.03,7,103,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecryptRecordLengthFailure[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256],4,94,19,3,2,0.36,49,512,1,0.00,0.00
org.eclipse.californium.scandium.dtls.InMemoryConnectionStoreTest.testGetAddressRetrievesLocalConnection,7,80,21,4,3,0.27,80,518,1,0.00,0.00
org.eclipse.californium.core.test.NotificationReregistrationBackoffTest.reregistrationTest[notification re-registration backoff = 500],3,480,88,10,1,0.04,88,3594,0,0.00,0.00
org.eclipse.californium.core.network.MapBasedMessageIdTrackerTest.testGetNextMessageIdRangeRollover,1,5,4,2,2,0.32,59,79,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testAES256and128CryptionFails[1],0,11,6,2,1,0.04,28,129,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes128Sha256Cryption[9],0,22,6,2,1,0.57,25,115,1,0.00,0.00
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest.testServerSendingEndpointContext,2,32,13,1,1,0.19,105,295,0,0.00,0.00
org.eclipse.californium.scandium.dtls.CertificateMessageTest.testSerializationUsingX509,2,26,6,2,1,0.38,23,226,1,0.00,0.00
org.eclipse.californium.elements.util.CertPathUtilTest.testMatchLiteralIP,0,9,4,1,1,0.40,25,127,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testAes256ShaCryption[2],0,22,6,2,1,0.57,26,115,1,0.00,0.00
org.eclipse.californium.elements.util.DatagramWriterTest.testWriteNullVarBytes,1,13,2,1,1,0.21,12,92,1,0.00,0.00
org.eclipse.californium.scandium.dtls.DTLSContextTest.testConstructorEnforcesMaxSequenceNo,4,54,12,3,2,0.50,50,244,1,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorResumeTest.testConnectorRequiresResumptionSupressHandshake[setup = PSK-async-master],4,633,101,9,1,0.09,202,5433,1,0.00,0.00
org.eclipse.californium.elements.TlsEndpointContextMatcherTest.testWithConnectorEndpointContext,2,21,10,1,1,0.00,64,129,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testDifferentKey[3],0,12,6,2,1,0.04,29,133,1,0.00,0.00
org.eclipse.californium.oscore.HashMapCtxDBTest.testGetContextNull,1,4,1,1,1,0.31,22,57,1,0.00,0.00
org.eclipse.californium.elements.config.ConfigurationTest.testConfigurationUnknownBoolean,1,19,8,2,1,0.09,50,100,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testDifferentAdditionalData[0],0,12,6,2,1,0.04,29,133,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testTooShortNonce[3],0,5,3,2,1,0.06,27,68,1,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest.testDifferentNonce[0],0,22,6,2,1,0.57,25,121,1,0.00,0.00
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testSequenceExceedsSupportedLengthBytes,1,7,3,1,1,0.00,5,87,0,0.00,0.00
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest.testAES128CCMCryption[3],0,13,6,2,1,0.05,28,130,1,0.00,0.00
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testBrokenEcdsa,0,40,12,1,1,0.16,66,422,1,0.00,0.00
org.eclipse.californium.elements.util.Asn1DerDecoderTest.testInvalidOidToString,1,16,6,1,1,0.01,4,151,1,0.00,0.00
org.eclipse.californium.scandium.DTLSConnectorResumeTest.testConnectorSupressHandshake[setup = PSK-async-master],2,87,18,8,1,0.42,127,981,1,0.00,0.00
org.eclipse.californium.scandium.dtls.ServerHandshakerTest.testReceiveClientHelloAbortsOnUnknownServerCertificateType,4,131,35,5,3,0.12,110,1247,1,0.00,0.00
org.eclipse.californium.core.test.RandomAccessBlockTest.testServerReturnsIndividualBlocks[MAX_RESOURCE_BODY_SIZE = 2;048],6,418,74,9,1,0.06,119,3201,0,0.00,0.00
org.eclipse.californium.core.test.ResourceTreeTest.testNameChange,3,402,72,9,1,0.05,84,3155,0,0.00,0.00
org.eclipse.californium.oscore.HashMapCtxDBTest.testRetrieveNonUniqueRID,2,11,4,2,2,0.28,26,176,1,0.00,0.00
org.eclipse.californium.proxy2.Coap2CoapTranslatorTest.testTranslateRequest,1,4,2,1,1,0.90,15,52,1,0.00,0.00
org.eclipse.californium.scandium.dtls.HandshakerTest.testProcessMessageRemoveExtraRecords,6,167,39,5,3,0.13,101,1504,1,0.00,0.00
org.eclipse.californium.scandium.dtls.RecordDecryptTest.testEncrypDecrypt[ciphersuite = TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384],4,93,19,3,2,0.36,39,507,1,0.00,0.00
