TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.ProtobufCodedOutputTest.testJavaSerializableEmptyBarInner,0,19,6,1,1,0.19,139,180,0,29,32,0,5,0.48,0,0,0
io.protostuff.ProtobufCodedOutputTest.testJavaSerializableEmptyFoo,0,4,3,1,1,0.79,99,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtobufCodedOutputTest.testJavaSerializableEmptyFoo2,0,4,3,1,1,0.79,104,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtobufCodedOutputTest.testJavaSerializableEmptyFooInner,0,4,3,1,1,0.79,109,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtobufCodedOutputTest.testJavaSerializableGraphIOUtil,0,13,7,1,1,0.27,48,136,0,31,29,4,3,0.52,0.57,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyBar,1,14,2,1,1,0.11,163,128,0,23,35,1,3,0.4,0.25,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyBarInner,1,14,2,1,1,0.11,163,128,0,23,35,0,4,0.4,0,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyBarInnerWithEmptyString,1,14,2,1,1,0.08,179,179,0,29,41,1,4,0.41,0.2,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyBarInnerWithString,1,13,2,1,1,0.11,179,126,0,24,36,0,4,0.4,0,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyBarWithEmptyString,1,14,2,1,1,0.08,179,179,0,27,43,1,4,0.39,0.2,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyBarWithString,1,13,2,1,1,0.11,179,126,0,25,35,1,3,0.42,0.25,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyFoo,1,14,2,1,1,0.11,218,128,0,23,35,1,3,0.4,0.25,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyFooInner,1,4,1,1,1,0.09,129,56,0,8,10,0,0,0.44,0,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyFooInnerWithEmptyString,1,4,1,1,1,0.09,132,56,0,8,10,0,0,0.44,0,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyFooInnerWithString,1,4,1,1,1,0.09,132,56,0,8,10,0,0,0.44,0,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyFooWithEmptyString,1,10,2,1,1,0.09,176,148,0,23,26,0,3,0.47,0,0,0
io.protostuff.ProtobufCodedOutputTest.testPartialEmptyFooWithString,1,9,2,1,1,0.15,176,95,0,19,20,0,2,0.49,0,0,0
io.protostuff.ProtobufCodedOutputTest.testShareFieldNumberAndTypeAndSkipMessage,1,23,2,1,1,0.17,296,203,0,53,43,2,6,0.55,0.25,0,0
io.protostuff.ProtobufDelimiterTest.testBar,0,45,4,1,1,0.02,155,466,0,147,104,2,14,0.59,0.12,0,0
io.protostuff.ProtobufDelimiterTest.testBarTooLarge2,0,12,3,1,1,0.05,54,167,0,52,46,6,1,0.53,0.86,0,1
io.protostuff.ProtobufDelimiterTest.testBarTooLarge3,0,12,3,1,1,0.19,54,167,0,54,47,7,1,0.53,0.88,0,1
io.protostuff.ProtobufDelimiterTest.testBaz,0,24,4,1,1,0.11,66,291,0,74,61,2,9,0.55,0.18,0,0
io.protostuff.ProtobufDelimiterTest.testFoo,0,45,4,1,1,0.07,289,466,0,179,115,4,17,0.61,0.19,0,0
io.protostuff.ProtobufDelimiterTest.testFooEmpty,0,8,3,1,1,0.07,115,122,0,20,15,2,0,0.57,1,0,1
io.protostuff.ProtobufDelimiterTest.testFooTooLarge,0,27,3,1,1,0.1,115,328,0,85,117,2,11,0.42,0.15,0,0
io.protostuff.ProtobufOutputTest.testComputeRawVarint32Size,0,1,1,1,1,1,7,9,1,13,0,0,0,1,0,1,0
io.protostuff.ProtobufOutputTest.testComputeRawVarint64Size,0,1,1,1,1,1,12,19,1,28,0,6,0,1,1,1,1
io.protostuff.ProtobufOutputTest.testEncodeZigZag32,0,1,1,1,1,1,6,1,1,2,0,0,0,1,0,1,0
io.protostuff.ProtobufOutputTest.testEncodeZigZag64,0,1,1,1,1,1,6,1,1,2,0,0,0,1,0,1,0
io.protostuff.ProtobufOutputTest.testGetRawVarInt32Bytes,0,2,1,1,1,0.5,4,18,1,14,1,5,0,0.93,1,1,1
io.protostuff.ProtobufOutputTest.testGetTagAndRawLittleEndian32Bytes,0,3,1,1,1,0.38,6,26,1,24,4,7,1,0.86,0.88,1,1
io.protostuff.ProtobufOutputTest.testGetTagAndRawLittleEndian64Bytes,0,3,1,1,1,0.33,6,30,1,32,4,6,1,0.89,0.86,1,1
io.protostuff.ProtobufOutputTest.testGetTagAndRawVarInt32Bytes,0,2,1,1,1,0.62,8,24,1,22,2,7,0,0.92,1,1,1
io.protostuff.ProtobufOutputTest.testGetTagAndRawVarInt64Bytes,0,3,1,1,1,0.35,8,43,1,28,2,7,0,0.93,1,1,1
io.protostuff.ProtobufOutputTest.testWriteRawLittleEndian32,0,1,1,1,1,1,6,7,1,8,3,1,1,0.73,0.5,1,0
io.protostuff.ProtobufOutputTest.testWriteRawLittleEndian64,0,1,1,1,1,1,6,11,1,16,3,1,0,0.84,1,1,1
io.protostuff.ProtobufOutputTest.testWriteRawVarInt32,0,1,1,1,1,1,5,5,1,5,0,0,0,1,0,1,0
io.protostuff.ProtobufOutputTest.testWriteRawVarInt32Bytes,0,2,1,1,1,1,22,10,1,8,0,0,0,1,0,1,0
io.protostuff.ProtobufRepeatedMessagesTest.testBar,0,43,4,1,1,0.1,146,408,0,148,114,1,18,0.56,0.05,0,0
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyBar,0,4,2,1,1,0.85,80,50,0,5,7,1,0,0.42,1,0,1
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyBar2,0,4,2,1,1,0.85,79,50,0,5,7,1,0,0.42,1,0,1
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyBarInner,0,11,4,1,1,0.28,144,157,0,31,27,2,1,0.53,0.67,0,0
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyFoo,0,4,2,1,1,0.29,104,50,0,5,7,1,0,0.42,1,0,1
