TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.pitest.mutationtest.engine.gregor.mutators.BigDecimalMutatorTest.mutliplyLambda,2,168,36,13,7,0.06,109,650,1,0.00,0.00
org.pitest.mutationtest.build.MutationDiscoveryTest.filterMutantsInJavaRecords,3,270,69,15,5,0.04,23,792,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutatorTest.shouldProvideAMeaningfulName,1,2,1,1,1,0.50,3,3,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsTest.describesMutationsToShorts,1,137,32,13,7,0.02,35,472,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.ClassInfoTest.shouldIdentifyGroovyClosures,1,4,2,2,2,0.12,3,16,1,0.00,0.00
org.pitest.functional.FCollectionTest.shouldSplitCollectionIntoTwoBucketsWhenListSizeOneGreaterThanBucketSize,0,1,1,1,1,1.00,8,14,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.AvoidAssertsMethodAdapterTest.shouldForwardVisitTableSwitchInsnToChild,1,0,0,0,0,0.00,15,3,0,0.00,0.00
org.pitest.plugin.FeatureParserTest.shouldParseListValues,0,12,3,2,2,0.05,5,50,1,0.00,0.00
org.pitest.mutationtest.config.PrioritisingTestConfigurationTest.highestPriorityConfigurationFindsSuites,1,7,2,1,1,0.04,14,35,1,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldPassExcludedGroupsOptionToJavaTask,1,12,1,1,1,0.56,13,47,1,0.00,0.00
org.pitest.plugin.FeatureSelectorTest.shouldEnableFeaturesWhenRequested,2,17,4,2,2,0.07,7,58,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testObeysFailWhenNoMutationsFlagWhenPackagingTypeIsNotPOM,2,69,2,1,1,0.08,57,208,1,0.00,0.00
org.pitest.mutationtest.build.intercept.equivalent.EquivalentReturnMutationFilterTest.doesNotFilterNonEquivalents,0,37,11,3,2,0.04,40,107,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutatorTest.isUnableToCreateConsistentMutationForConstantFinalPrimitiveMember,2,184,37,13,7,0.06,107,659,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.SwitchMutatorTest.shouldSwapFirstCaseWithDefaultForInt,2,178,36,13,7,0.06,110,646,1,0.00,0.00
org.pitest.util.SocketReadingCallableTest.shouldPassCommandsToReceiver,1,3,1,1,1,0.57,18,26,1,0.00,0.00
org.pitest.mutationtest.build.MutationDiscoveryTest.shouldNotMutateMethodsAnnotatedWithGenerated,3,237,64,15,5,0.04,21,682,0,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutatorTest.shouldNotReplaceMethodsReturningArraysOfUnmatchedType,1,114,29,13,7,0.02,28,420,1,0.00,0.00
org.pitest.mutationtest.incremental.IncrementalAnalyserTest.shouldStartPreviousTimedOutMutationsAtAStatusOfNotStartedWhenClassHasChanged,1,8,2,2,1,0.28,37,52,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.TestGregorMutater.shouldMutateOtherStatementsWhenAssertIsPresent,1,145,34,13,7,0.02,39,537,1,0.00,0.00
org.pitest.functional.FCollectionTest.containsShouldReturnFalseWhenPredicateNotMet,0,3,2,2,1,0.86,5,7,1,0.00,0.00
org.pitest.mutationtest.commandline.OptionsParserTest.shouldIncludeLaunchClasspathByDefault,1,10,3,1,1,0.01,18,277,1,0.00,0.00
org.pitest.classinfo.ClassNameTest.shouldUseCachedInstancesForString,0,3,1,1,1,0.05,2,20,1,0.00,0.00
org.pitest.mutationtest.config.SettingsFactoryTest.shouldReturnSpecifiedJavaExecutableWhenOneSet,1,5,3,2,2,0.80,6,17,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesTestGroupsToInclude,2,69,2,1,1,0.08,55,208,1,0.00,0.00
org.pitest.TestJUnitConfiguration.shouldFailTestsThatDoNotThrowExpectedException,2,78,24,10,5,0.01,11,329,0,0.00,0.00
org.pitest.testapi.execute.MultipleTestGroupTest.shouldStopExecutingWhenResultCollectorRequestsStop,2,2,2,2,1,0.67,10,23,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest.shouldDescribeReplacementOfEqualityChecksWithFalse,2,143,34,13,7,0.02,46,522,1,0.00,0.00
org.pitest.mutationtest.build.intercept.javafeatures.RecordFilterTest.mutatesCustomToStringMethods,0,28,4,2,2,0.06,41,78,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutatorTest.shouldChangeLabelChar,2,180,36,13,7,0.06,113,646,1,0.00,0.00
org.pitest.classpath.OtherClassLoaderClassPathRootTest.shouldReturnsBytesForClassesVisibleToParentLoader,1,1,1,1,1,1.00,7,4,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutatorTest.doesNotMutateBoxedIntegerReturns,1,112,28,13,7,0.02,31,409,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.BigDecimalMutatorTest.subtract,2,162,36,13,7,0.06,109,615,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutatorTest.willSubstituteCollectionsOfDifferentTypesDueToTypeErasure,2,183,36,13,7,0.06,107,666,1,0.00,0.00
org.pitest.classinfo.RepositoryTest.shouldOnlyCheckSourceForUnknownClassesOnce,2,2,1,1,1,0.12,10,17,1,0.00,0.00
org.pitest.sequence.SequenceQueryTest.shouldMatchSimpleZeroOrMores,0,26,11,1,1,0.08,12,98,1,0.00,0.00
org.pitest.util.CachingByteArraySourceTest.shouldCacheByteFromChild,1,2,2,1,1,0.00,7,14,1,0.00,0.00
org.pitest.junit.adapter.CustomRunnerExecutorTest.shouldExecuteTheSuppliedRunner,2,2,2,2,2,0.62,8,24,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutatorTest.shouldRemoveAssignmentToFinalPrimitiveMemberVariable,2,177,37,13,7,0.06,107,638,1,0.00,0.00
org.pitest.mutationtest.build.intercept.logging.LoggingCallsFilterTest.shouldNotFilterMutantsOnLinesOtherThanLoggingLine,0,13,4,2,2,0.41,19,40,1,0.00,0.00
org.pitest.maven.MojoToReportOptionsConverterTest.testParsesVerbosity,2,69,2,1,1,0.08,54,208,1,0.00,0.00
org.pitest.junit.adapter.AdaptedJUnitTestUnitTest.shouldCallNotifyStartWhenExecutingInOwnClassLoader,1,11,5,2,2,0.24,17,74,1,0.00,0.00
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutatorTest.shouldReplaceTableLabelsInt,2,179,36,13,7,0.06,118,645,1,0.00,0.00
org.pitest.bytecode.analysis.InstructionMatchersTest.shouldCaptureIStoreVariable,0,17,8,2,2,0.25,6,40,1,0.00,0.00
org.pitest.ant.PitestTaskTest.shouldPassTestStrengthThresholdToJavaTask,1,12,1,1,1,0.56,13,47,1,0.00,0.00
org.pitest.mutationtest.commandline.OptionsParserTest.shouldNotExportLineCoverageWhenFlagNotSet,1,9,3,1,1,0.01,18,276,1,0.00,0.00
org.pitest.maven.report.PitReportMojoTest.testNonExistantReportsDirectory,0,1,1,1,1,1.00,8,23,1,0.00,0.00
