TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testClassRuleAccessToClassInAnotherClassLoader,3,159,43,11,1,0.06,32,646,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.IgnoreClassTest.ignoreClass,0,139,43,9,1,0.01,5,551,0,0,0,0,0,0.00,0.00
org.junit.internal.MethodSorterTest.testDefaultMethodSorter,0,59,24,8,1,0.03,29,228,1,0,0,0,0,0.00,0.00
junit.tests.framework.AssertTest.testAssertionFailedErrorToStringWithMessage,0,39,13,4,3,0.01,27,161,1,0,0,0,0,0.00,0.00
junit.tests.framework.DoublePrecisionAssertTest.testAssertEqualsNaNFails,0,38,13,4,3,0.00,27,160,0,0,0,0,0,0.00,0.00
org.junit.experimental.categories.MultiCategoryTest.inheritanceAnyAll,0,224,63,13,1,0.01,10,923,0,0,0,0,0,0.00,0.00
org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testToStringSuite,2,54,22,7,5,0.01,24,243,0,0,0,0,0,0.00,0.00
org.junit.tests.running.methods.TestMethodTest.compatibility,2,184,58,13,2,0.01,7,762,0,0,0,0,0,0.00,0.00
org.junit.runners.model.FrameworkFieldTest.hasToStringWhichPrintsFieldName,1,66,26,8,1,0.02,28,264,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertThatDescriptionCanBeElided,0,54,20,7,1,0.01,28,210,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertThatIncludesDescriptionOfTestedValueInErrorMessage,0,54,20,7,1,0.01,28,210,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyRethrowsSingleError,0,54,22,8,1,0.04,27,209,1,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testBagSimpleAdd,0,67,26,9,2,0.01,101,254,0,0,0,0,0,0.00,0.00
org.junit.samples.SimpleTest.testEquals,0,81,28,10,2,0.03,31,307,0,0,0,0,0,0.00,0.00
org.junit.runner.JUnitCommandLineParseResultTest.shouldStopParsingOptionsUponNonOption,1,63,26,8,1,0.08,7,274,1,0,0,0,0,0.00,0.00
org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testCompatibility,2,203,64,14,2,0.00,31,856,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.ParentRunnerTest.assertionErrorAtParentLevelTest,3,145,39,10,1,0.04,37,611,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.oneDimensionalFloatArraysAreNotEqual,0,58,21,8,1,0.00,22,291,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.implicitTypecastEquality,0,53,20,7,1,0.02,33,207,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.AssumptionTest.failingAssumptionInConstructorIgnoresClass,0,190,63,13,1,0.00,6,778,0,0,0,0,0,0.00,0.00
org.junit.internal.ChecksTest.notNullWithMessageShouldThrowOnNullValues,0,54,21,8,1,0.05,25,211,1,0,0,0,0,0.00,0.00
org.junit.internal.runners.statements.FailOnTimeoutTest.lookingForStuckThread_threadGroupNotLeaked[lookingForStuckThread = false],0,58,22,7,1,0.00,22,254,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.ComparisonFailureTest.compactFailureMessage[compact-msg-11; exp=""],1,68,24,8,1,0.01,26,274,1,0,0,0,0,0.00,0.00
